id,word,variant,homonym_num,part_of_speech,ru_definition
0,а,,0,noun,название первой буквы якутского алфавита
3,аа,,3,interj,"выражает чувство изумления, растерянности и ужаса (часто в сочет. с др. межд.)"
4,аабы,,0,noun,"заросль, густой кустарник, молодой березняк, сырое место, заросшее кустарником, молодым березняком"
10,аабылааннаах,,0,adj,"заросший кустарником, молодым березняком (о местности)"
15,аагыйах,,1,noun,"место у берега озера, куда пристают лодки, вешают сети, берут воду"
16,аагыйах,,2,noun,"березняк, в котором встречаются березы с темной корой"
17,ааҕа,,0,adv,"каждого в отдельности и без исключения (например, рассматривать, узнавать, считать)"
18,ааҕааччы,,0,noun,"тот, кто читает, читающий, тот, кто считает, считающий количество кого-, чего-либо"
19,ааҕааччылаах,,0,adj,"имеющий читателей, собирающий читателей (например, о библиотеке, зале)"
20,ааҕааччылан,,0,verb,"привлекать к себе читателя, иметь читателя"
22,ааҕан,,0,adv,"осторожно, осмотрительно, солидно, степенно"
23,ааҕан-суоттаан,,0,adv,"расчетливо, с расчетом, считая выгодным, более полезным (делать что-либо)"
25,ааҕардыы,,0,adv,"собираясь читать, считать, как бы читая, считая"
26,ааҕар-суоттуур,,0,adj,"счетно-вычислительное (устройство, машина и др.)"
32,ааҕымчылаа,,0,verb,"относиться к кому-либо намеренно мягко, бережно (например, имея явное превосходство в физической подготовке, свести спортивное состязание на ничью)"
35,ааҕыннаа,,0,verb,"работать продавцом и хранителем товара, быть агентом"
36,ааҕын-суоттан,,0,verb,"произвести для себя исчисление чего-либо, учесть все данные или возможности для совершения чего-либо, рассчитать"
53,аадырыс,,0,noun,точное местожительство кого-либо
54,аадырыстаа,,0,verb,"писать на конверте, посылке адрес получателя и отправителя"
60,аа-дьуо,,0,adv,"неторопливо, потихоньку, спокойно"
62,аай,,0,interj,"обозначает радостное удивление при внезапном обнаружении кого-, чего-либо (с оттенком удовлетворения, довольства, злорадства)"
65,аай-да,,0,interj,"обозначает чувство восторга, радостного удовлетворения чем-либо"
